,tokens,ner_tags
0,"['Kuwait', 'congratulates', 'Mr.', 'Srgjan', 'Kerim', 'upon', 'his', 'election', 'to', 'the', 'presidency', 'of', 'the', 'General', 'Assembly', 'at', 'its', 'sixty-second', 'session', ',', 'and', 'recalls', 'with', 'appreciation', 'the', 'efforts', 'of', 'his', 'predecessor', ',', 'Her', 'Excellency', 'Sheikha', 'Haya', 'Rashed', 'Al-Khalifa', ',', 'and', 'her', 'successful', 'conduct', 'of', 'the', 'work', 'of', 'the', 'sixty-first', 'session', '.']","['I-LOC', 'O', 'O', 'I-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-PER', 'I-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1,"['Despite', 'the', 'fact', 'that', 'two', 'years', 'have', 'elapsed', 'since', 'the', '2005', 'World', 'Summit', 'and', 'seven', 'years', 'since', 'the', 'Millennium', 'Summit', ',', 'we', 'continue', 'to', 'confront', 'challenges', 'and', 'dangers', 'to', 'international', 'peace', 'and', 'security', ',', 'such', 'as', 'terrorism', ',', 'poverty', ',', 'hunger', ',', 'the', 'spread', 'of', 'dangerous', 'infectious', 'diseases', 'like', 'HIV/AIDS', 'and', 'malaria', ',', 'deterioration', 'of', 'the', 'environment', 'and', 'violations', 'of', 'human', 'rights', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-MISC', 'I-MISC', 'O', 'O', 'O', 'O', 'O', 'I-MISC', 'I-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2,"['Recent', 'times', 'have', 'seen', 'a', 'number', 'of', 'outstanding', 'achievements', ',', 'most', 'important', 'among', 'them', 'the', 'establishment', 'of', 'the', 'Peacebuilding', 'Commission', ',', 'the', 'Human', 'Rights', 'Council', ',', 'the', 'Central', 'Emergency', 'Response', 'Fund', 'and', 'the', 'United', 'Nations', 'Democracy', 'Fund', ',', 'and', 'the', 'introduction', 'of', 'administrative', 'and', 'financial', 'reforms', 'of', 'the', 'work', 'of', 'the', 'Secretariat', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-ORG', 'I-ORG', 'O', 'O', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'I-MISC', 'I-MISC', 'I-MISC', 'I-MISC', 'O', 'O', 'I-ORG', 'I-ORG', 'I-MISC', 'I-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-ORG', 'O']"
3,"['These', 'were', 'all', 'necessary', 'achievements', ',', 'but', 'they', 'are', 'not', 'enough', 'to', 'combat', 'terrorism', ',', 'eliminate', 'weapons', 'of', 'mass', 'destruction', ',', 'affect', 'climate', 'change', 'and', 'achieve', 'sustainable', 'development', 'in', 'the', 'developing', 'countries', ',', 'including', 'the', 'least', 'developed', 'among', 'them', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
4,"['Moreover', ',', 'the', 'revival', 'of', 'racial', 'bias', ',', 'religious', 'sedition', ',', 'incitement', 'of', 'hatred', 'and', 'xenophobia', 'represent', 'a', 'serious', 'threat', 'to', 'international', 'peace', 'and', 'security', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5,"['The', 'Organization', 'must', 'be', 'strong', 'in', 'confronting', 'that', 'threat', 'seriously', 'and', 'firmly', '.']","['O', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
6,"['The', 'time', 'has', 'come', 'for', 'us', 'to', 'change', 'our', 'method', 'and', 'approach', 'in', 'dealing', 'with', 'these', 'universal', 'challenges', 'and', 'dangers', 'and', 'to', 'move', 'from', 'the', 'phase', 'of', 'determining', 'what', 'should', 'be', 'done', 'to', 'the', 'phase', 'of', 'actual', 'work', 'and', 'the', 'faithful', 'fulfilment', 'of', 'the', 'commitments', 'we', 'have', 'taken', 'upon', 'ourselves', 'at', 'international', 'conferences', 'and', 'in', 'international', 'agreements', 'and', 'conventions', 'that', 'we', 'have', 'signed', 'and', 'ratified', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
7,"['The', 'State', 'of', 'Kuwait', 'has', 'made', 'good', 'progress', 'in', 'translating', 'the', 'commitments', 'and', 'resolutions', 'of', 'the', '2005', 'World', 'Summit', 'into', 'tangible', 'realities', '.']","['O', 'O', 'O', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-MISC', 'I-MISC', 'O', 'O', 'O', 'O']"
8,"['It', 'has', 'also', 'attained', 'the', 'Millennium', 'Development', 'Goals', ',', 'particularly', 'in', 'the', 'fields', 'of', 'education', ',', 'health', 'and', 'advancing', 'the', 'role', 'of', 'women', 'in', 'society', '.']","['O', 'O', 'O', 'O', 'O', 'I-MISC', 'I-MISC', 'I-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
9,"['It', 'has', 'designed', 'policies', 'capable', 'of', 'uplifting', 'society', 'and', 'achieving', 'further', 'progress', 'and', 'social', 'and', 'economic', 'development', ',', 'as', 'well', 'as', 'raising', 'the', 'standard', 'of', 'living', 'of', 'individuals', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
